"COUNTRY","Country","SEX","Sex","FIELD","Field of education","COUNTRY_ORIGIN","Country of origin","ISC11_LEVEL","Level of education","ISC11P_CAT","Category of education","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,4120.228,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,4948.882,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,6250.292,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,9261,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,11487,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,12642.254,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,14436.265,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,16576.901,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,536,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,582,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,603,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,644,,
"AUS","Australia","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,636,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,1438,,
