"location","subject","time","mean.score"
"ISL","TOT",2003,515
"ISL","TOT",2006,506
"ISL","TOT",2009,507
"ISL","TOT",2012,493
"ISL","TOT",2015,488
"ISL","TOT",2018,495
"IRL","TOT",2003,503
"IRL","TOT",2006,501
"IRL","TOT",2009,487
"IRL","TOT",2012,501
"IRL","TOT",2015,504
"IRL","TOT",2018,500
"ITA","TOT",2003,466
"ITA","TOT",2006,462
"ITA","TOT",2009,483
"ITA","TOT",2012,485
"ITA","TOT",2015,490
"ITA","TOT",2018,487
"JPN","TOT",2003,534
"JPN","TOT",2006,523
"JPN","TOT",2009,529
"JPN","TOT",2012,536
"JPN","TOT",2015,532
"JPN","TOT",2018,527
"KOR","TOT",2003,542
"KOR","TOT",2006,547
"KOR","TOT",2009,546
"KOR","TOT",2012,554
"KOR","TOT",2015,524
"KOR","TOT",2018,526
"LUX","TOT",2003,493
"LUX","TOT",2006,490
"LUX","TOT",2009,489
"LUX","TOT",2012,490
"LUX","TOT",2015,486
"LUX","TOT",2018,483
"MEX","TOT",2003,385
"MEX","TOT",2006,406
"MEX","TOT",2009,419
"MEX","TOT",2012,413
"MEX","TOT",2015,408
"MEX","TOT",2018,409
"NLD","TOT",2003,538
"NLD","TOT",2006,531
"NLD","TOT",2009,526
"NLD","TOT",2012,523
"NLD","TOT",2015,512
"NLD","TOT",2018,519
"NZL","TOT",2003,523
"NZL","TOT",2006,522
"NZL","TOT",2009,519
"NZL","TOT",2012,500
"NZL","TOT",2015,495
"NZL","TOT",2018,494
"NOR","TOT",2003,495
"NOR","TOT",2006,490
"NOR","TOT",2009,498
"NOR","TOT",2012,489
"NOR","TOT",2015,502
"NOR","TOT",2018,501
"POL","TOT",2003,490
"POL","TOT",2006,495
"POL","TOT",2009,495
"POL","TOT",2012,518
"POL","TOT",2015,504
"POL","TOT",2018,516
"PRT","TOT",2003,466
"PRT","TOT",2006,466
"PRT","TOT",2009,487
"PRT","TOT",2012,487
"PRT","TOT",2015,492
"PRT","TOT",2018,492
"SVK","TOT",2003,498
"SVK","TOT",2006,492
"SVK","TOT",2009,497
"SVK","TOT",2012,482
"SVK","TOT",2015,475
"SVK","TOT",2018,486
"ESP","TOT",2003,485
"ESP","TOT",2006,480
"ESP","TOT",2009,483
"ESP","TOT",2012,484
"ESP","TOT",2015,486
"ESP","TOT",2018,481
"SWE","TOT",2003,509
"SWE","TOT",2006,502
"SWE","TOT",2009,494
"SWE","TOT",2012,478
"SWE","TOT",2015,494
"SWE","TOT",2018,502
"CHE","TOT",2003,527
"CHE","TOT",2006,530
"CHE","TOT",2009,534
"CHE","TOT",2012,531
"CHE","TOT",2015,521
"CHE","TOT",2018,515
"TUR","TOT",2003,423
"TUR","TOT",2006,424
"TUR","TOT",2009,445
"TUR","TOT",2012,448
"TUR","TOT",2015,420
"TUR","TOT",2018,454
"GBR","TOT",2006,495
"GBR","TOT",2009,492
"GBR","TOT",2012,494
"GBR","TOT",2015,492
"GBR","TOT",2018,502
"USA","TOT",2003,483
"USA","TOT",2006,474
"USA","TOT",2009,487
"USA","TOT",2012,481
"USA","TOT",2015,470
"USA","TOT",2018,478
"BRA","TOT",2003,356
"BRA","TOT",2006,370
"BRA","TOT",2009,386
"BRA","TOT",2012,389
"BRA","TOT",2015,377
"BRA","TOT",2018,384
"CHL","TOT",2006,411
"CHL","TOT",2009,421
"CHL","TOT",2012,423
"CHL","TOT",2015,423
"CHL","TOT",2018,417
"EST","TOT",2006,515
"EST","TOT",2009,512
"EST","TOT",2012,521
"EST","TOT",2015,520
"EST","TOT",2018,523
"IDN","TOT",2003,360
"IDN","TOT",2006,391
"IDN","TOT",2009,371
