"country","sex","field","level.of.education","year","percent","flags"
"Belgium","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.998,""
"Belgium","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,4.17,""
"Belgium","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.199,""
"Belgium","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.25,""
"Belgium","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,26.406,""
"Belgium","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.387,""
"Belgium","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.585,""
"Belgium","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,0.24,""
"Belgium","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.449,""
"Belgium","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.083,""
"Belgium","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.925,""
"Belgium","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.47,""
"Belgium","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,21.716,""
"Belgium","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,6.708,""
"Belgium","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,23.566,""
"Belgium","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.75,""
"Belgium","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,20.498,""
"Belgium","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.238,""
"Belgium","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.341,""
"Belgium","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,2.564,""
"Belgium","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.704,""
"Belgium","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.583,""
"Belgium","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.776,""
"Belgium","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,37.88,""
"Belgium","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.294,""
"Belgium","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,24.139,""
"Belgium","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,16.654,""
"Belgium","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,32.083,""
"Belgium","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.004,""
"Belgium","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.577,""
