"","country","sex","age","numeracy.level","year","earn.month","flags"
"263","Poland","F","25-64 years","Level (4/5)",2012,7,""
"264","Poland","M","25-64 years","Level (4/5)",2012,10,""
"265","Poland","F","25-64 years","Level (0/1)",2012,1100,""
"266","Poland","M","25-64 years","Level (0/1)",2012,1400,""
"267","Poland","F","25-64 years","Level (2)",2012,1300,""
"268","Poland","M","25-64 years","Level (2)",2012,1500,""
"269","Poland","F","25-64 years","Level (3)",2012,1600,""
"270","Poland","M","25-64 years","Level (3)",2012,1900,""
"271","Poland","F","25-64 years","Level (4/5)",2012,2000,""
"272","Poland","M","25-64 years","Level (4/5)",2012,2400,""
"273","Slovak Republic","F","25-64 years","Level (0/1)",2012,14,""
"274","Slovak Republic","M","25-64 years","Level (0/1)",2012,14,""
"275","Slovak Republic","F","25-64 years","Level (2)",2012,33,""
"276","Slovak Republic","M","25-64 years","Level (2)",2012,32,""
"277","Slovak Republic","F","25-64 years","Level (3)",2012,42,""
"278","Slovak Republic","M","25-64 years","Level (3)",2012,40,""
"279","Slovak Republic","F","25-64 years","Level (4/5)",2012,12,""
"280","Slovak Republic","M","25-64 years","Level (4/5)",2012,14,""
"281","Slovak Republic","F","25-64 years","Level (0/1)",2012,900,""
"282","Slovak Republic","M","25-64 years","Level (0/1)",2012,1100,""
"283","Slovak Republic","F","25-64 years","Level (2)",2012,1000,""
"284","Slovak Republic","M","25-64 years","Level (2)",2012,1400,""
"285","Slovak Republic","F","25-64 years","Level (3)",2012,1300,""
"286","Slovak Republic","M","25-64 years","Level (3)",2012,1700,""
"287","Slovak Republic","F","25-64 years","Level (4/5)",2012,1600,""
"288","Slovak Republic","M","25-64 years","Level (4/5)",2012,2100,""
"289","Spain","F","25-64 years","Level (0/1)",2012,35,""
"290","Spain","M","25-64 years","Level (0/1)",2012,28,""
"291","Spain","F","25-64 years","Level (2)",2012,42,""
"292","Spain","M","25-64 years","Level (2)",2012,38,""
"293","Spain","F","25-64 years","Level (3)",2012,21,""
"294","Spain","M","25-64 years","Level (3)",2012,28,""
"295","Spain","F","25-64 years","Level (4/5)",2012,2,""
"296","Spain","M","25-64 years","Level (4/5)",2012,6,""
"297","Spain","F","25-64 years","Level (0/1)",2012,1600,""
"298","Spain","M","25-64 years","Level (0/1)",2012,2000,""
"299","Spain","F","25-64 years","Level (2)",2012,2100,""
"300","Spain","M","25-64 years","Level (2)",2012,2400,""
"301","Spain","F","25-64 years","Level (3)",2012,2500,""
"302","Spain","M","25-64 years","Level (3)",2012,2800,""
"303","Spain","F","25-64 years","Level (4/5)",2012,2900,""
"304","Spain","M","25-64 years","Level (4/5)",2012,3300,""
"305","Sweden","F","25-64 years","Level (0/1)",2012,18,""
"306","Sweden","M","25-64 years","Level (0/1)",2012,13,""
"307","Sweden","F","25-64 years","Level (2)",2012,30,""
"308","Sweden","M","25-64 years","Level (2)",2012,25,""
"309","Sweden","F","25-64 years","Level (3)",2012,37,""
"310","Sweden","M","25-64 years","Level (3)",2012,38,""
"311","Sweden","F","25-64 years","Level (4/5)",2012,15,""
"312","Sweden","M","25-64 years","Level (4/5)",2012,25,""
"313","Sweden","F","25-64 years","Level (0/1)",2012,2400,""
"314","Sweden","M","25-64 years","Level (0/1)",2012,2800,""
"315","Sweden","F","25-64 years","Level (2)",2012,2700,""
"316","Sweden","M","25-64 years","Level (2)",2012,3100,""
"317","Sweden","F","25-64 years","Level (3)",2012,3100,""
"318","Sweden","M","25-64 years","Level (3)",2012,3600,""
"319","Sweden","F","25-64 years","Level (4/5)",2012,3500,""
"320","Sweden","M","25-64 years","Level (4/5)",2012,3900,""
"321","Turkey","F","25-64 years","Level (0/1)",2015,65,""
"322","Turkey","M","25-64 years","Level (0/1)",2015,44,""
"323","Turkey","F","25-64 years","Level (2)",2015,25,""
"324","Turkey","M","25-64 years","Level (2)",2015,38,""
"325","Turkey","F","25-64 years","Level (3)",2015,9,""
"326","Turkey","M","25-64 years","Level (3)",2015,16,""
"327","Turkey","F","25-64 years","Level (4/5)",2015,1,""
"328","Turkey","M","25-64 years","Level (4/5)",2015,2,""
"329","Turkey","F","25-64 years","Level (0/1)",2015,1000,""
"330","Turkey","M","25-64 years","Level (0/1)",2015,1300,""
"331","Turkey","F","25-64 years","Level (2)",2015,1400,""
"332","Turkey","M","25-64 years","Level (2)",2015,1500,""
"333","Turkey","F","25-64 years","Level (3)",2015,1600,""
"334","Turkey","M","25-64 years","Level (3)",2015,1700,""
"335","Turkey","F","25-64 years","Level (4/5)",2015,NA,"Data below the publication limit"
"336","Turkey","M","25-64 years","Level (4/5)",2015,1900,""
"337","United States","F","25-64 years","Level (0/1)",2012,33,""
"338","United States","M","25-64 years","Level (0/1)",2012,26,""
"339","United States","F","25-64 years","Level (2)",2012,35,""
"340","United States","M","25-64 years","Level (2)",2012,30,""
"341","United States","F","25-64 years","Level (3)",2012,26,""
"342","United States","M","25-64 years","Level (3)",2012,30,""
"343","United States","F","25-64 years","Level (4/5)",2012,6,""
"344","United States","M","25-64 years","Level (4/5)",2012,14,""
"345","United States","F","25-64 years","Level (0/1)",2012,2600,""
"346","United States","M","25-64 years","Level (0/1)",2012,3300,""
"347","United States","F","25-64 years","Level (2)",2012,3700,""
"348","United States","M","25-64 years","Level (2)",2012,4300,""
"349","United States","F","25-64 years","Level (3)",2012,4800,""
"350","United States","M","25-64 years","Level (3)",2012,5900,""
"351","United States","F","25-64 years","Level (4/5)",2012,6400,""
"352","United States","M","25-64 years","Level (4/5)",2012,7500,""
"353","Chile","F","25-64 years","Level (0/1)",2015,72,""
"354","Chile","M","25-64 years","Level (0/1)",2015,56,""
"355","Chile","F","25-64 years","Level (2)",2015,21,""
"356","Chile","M","25-64 years","Level (2)",2015,28,""
"357","Chile","F","25-64 years","Level (3)",2015,6,""
"358","Chile","M","25-64 years","Level (3)",2015,13,""
"359","Chile","F","25-64 years","Level (4/5)",2015,1,""
"360","Chile","M","25-64 years","Level (4/5)",2015,3,""
"361","Chile","F","25-64 years","Level (0/1)",2015,900,""
"362","Chile","M","25-64 years","Level (0/1)",2015,1200,""
"363","Chile","F","25-64 years","Level (2)",2015,1700,""
"364","Chile","M","25-64 years","Level (2)",2015,1900,""
"365","Chile","F","25-64 years","Level (3)",2015,1900,""
"366","Chile","M","25-64 years","Level (3)",2015,2600,""
"367","Chile","F","25-64 years","Level (4/5)",2015,NA,"Data below the publication limit"
"368","Chile","M","25-64 years","Level (4/5)",2015,NA,"Data below the publication limit"
"369","Estonia","F","25-64 years","Level (0/1)",2012,16,""
"370","Estonia","M","25-64 years","Level (0/1)",2012,14,""
"371","Estonia","F","25-64 years","Level (2)",2012,38,""
"372","Estonia","M","25-64 years","Level (2)",2012,34,""
"373","Estonia","F","25-64 years","Level (3)",2012,37,""
"374","Estonia","M","25-64 years","Level (3)",2012,38,""
"375","Estonia","F","25-64 years","Level (4/5)",2012,9,""
"376","Estonia","M","25-64 years","Level (4/5)",2012,14,""
"377","Estonia","F","25-64 years","Level (0/1)",2012,1000,""
"378","Estonia","M","25-64 years","Level (0/1)",2012,1500,""
"379","Estonia","F","25-64 years","Level (2)",2012,1100,""
"380","Estonia","M","25-64 years","Level (2)",2012,1800,""
"381","Estonia","F","25-64 years","Level (3)",2012,1400,""
"382","Estonia","M","25-64 years","Level (3)",2012,2100,""
"383","Estonia","F","25-64 years","Level (4/5)",2012,1800,""
"384","Estonia","M","25-64 years","Level (4/5)",2012,2600,""
"385","Israel","F","25-64 years","Level (0/1)",2015,35,""
"386","Israel","M","25-64 years","Level (0/1)",2015,28,""
"387","Israel","F","25-64 years","Level (2)",2015,31,""
"388","Israel","M","25-64 years","Level (2)",2015,29,""
"389","Israel","F","25-64 years","Level (3)",2015,25,""
"390","Israel","M","25-64 years","Level (3)",2015,28,""
"391","Israel","F","25-64 years","Level (4/5)",2015,9,""
"392","Israel","M","25-64 years","Level (4/5)",2015,15,""
"393","Israel","F","25-64 years","Level (0/1)",2015,1600,""
"394","Israel","M","25-64 years","Level (0/1)",2015,2000,""
"395","Israel","F","25-64 years","Level (2)",2015,1900,""
"396","Israel","M","25-64 years","Level (2)",2015,2700,""
"397","Israel","F","25-64 years","Level (3)",2015,2500,""
"398","Israel","M","25-64 years","Level (3)",2015,3400,""
"399","Israel","F","25-64 years","Level (4/5)",2015,3200,""
