"","country","sex","field.of.education","level.of.education","year","value","flag.codes","flags"
"163","Australia","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,5417.877,"",""
"164","Australia","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,6667.679,"",""
"165","Australia","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,8893.521,"",""
"166","Australia","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,15035,"",""
"167","Australia","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,17907,"",""
"168","Australia","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,19819.469,"",""
"169","Australia","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,23582.047,"",""
"170","Australia","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,29178.851,"",""
"171","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,1205,"",""
"172","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,1189,"",""
"173","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,1300.931,"",""
"174","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,1599.597,"",""
"175","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2197.265,"",""
"176","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,5930,"",""
"177","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,5948,"",""
"178","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,6359.801,"",""
"179","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,7763.276,"",""
"180","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9523.566,"",""
"181","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,1966,"",""
"182","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,2636,"",""
"183","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,3145.946,"",""
"184","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,3976.082,"",""
"185","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,5217.256,"",""
"186","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,6794,"",""
"187","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,8927,"",""
"188","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,10148.669,"",""
"189","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,11815.771,"",""
"190","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,13721.285,"",""
"191","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,282,"",""
"192","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,310,"",""
"193","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,315,"",""
"194","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,348,"",""
"195","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,341,"",""
"196","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,733,"",""
"197","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,820,"",""
"198","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,844,"",""
"199","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,913,"",""
"200","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,889,"",""
"201","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,8983,"",""
"202","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,9631,"",""
"203","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,9028.901,"",""
"204","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,10937.497,"",""
"205","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,12197.331,"",""
"206","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,26570,"",""
"207","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,28547,"",""
"208","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,28395.813,"",""
"209","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,32891.696,"",""
"210","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,35132.395,"",""
"211","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,4400,"",""
"212","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,4359,"",""
"213","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,3919.421,"",""
"214","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,4403.046,"",""
"215","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4885.377,"",""
"216","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,12936,"",""
"217","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,12808,"",""
"218","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,12456.183,"",""
"219","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,13569.279,"",""
"220","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,13858.499,"",""
"221","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,2761,"",""
"222","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,3356,"",""
"223","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,3564.48,"",""
"224","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,4686.451,"",""
"225","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,5280.954,"",""
"226","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,6698,"",""
"227","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,8472,"",""
"228","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,9912.63,"",""
"229","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,12672.417,"",""
"230","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,13442.896,"",""
"231","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,1310,"",""
"232","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,1399,"",""
"233","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,1263,"",""
"234","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,1307,"",""
"235","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1296,"",""
"236","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,3331,"",""
"237","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,3506,"",""
"238","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,3395,"",""
