"","location","subject","time","mean.score"
"393","BEL","TOT",2015,502
"394","BEL","TOT",2018,499
"395","CAN","TOT",2006,534
"396","CAN","TOT",2009,529
"397","CAN","TOT",2012,525
"398","CAN","TOT",2015,528
"399","CAN","TOT",2018,518
"400","CZE","TOT",2006,513
"401","CZE","TOT",2009,500
"402","CZE","TOT",2012,508
"403","CZE","TOT",2015,493
"404","CZE","TOT",2018,497
"405","DNK","TOT",2006,496
"406","DNK","TOT",2009,499
"407","DNK","TOT",2012,498
"408","DNK","TOT",2015,502
"409","DNK","TOT",2018,493
"410","FIN","TOT",2006,563
"411","FIN","TOT",2009,554
"412","FIN","TOT",2012,545
"413","FIN","TOT",2015,531
"414","FIN","TOT",2018,522
"415","FRA","TOT",2006,495
"416","FRA","TOT",2009,498
"417","FRA","TOT",2012,499
"418","FRA","TOT",2015,495
"419","FRA","TOT",2018,493
"420","DEU","TOT",2006,516
"421","DEU","TOT",2009,520
"422","DEU","TOT",2012,524
"423","DEU","TOT",2015,509
"424","DEU","TOT",2018,503
"425","GRC","TOT",2006,473
"426","GRC","TOT",2009,470
"427","GRC","TOT",2012,467
"428","GRC","TOT",2015,455
"429","GRC","TOT",2018,452
"430","HUN","TOT",2006,504
"431","HUN","TOT",2009,503
"432","HUN","TOT",2012,494
"433","HUN","TOT",2015,477
"434","HUN","TOT",2018,481
"435","ISL","TOT",2006,491
"436","ISL","TOT",2009,496
"437","ISL","TOT",2012,478
"438","ISL","TOT",2015,473
"439","ISL","TOT",2018,475
"440","IRL","TOT",2006,508
"441","IRL","TOT",2009,508
"442","IRL","TOT",2012,522
"443","IRL","TOT",2015,503
"444","IRL","TOT",2018,496
"445","ITA","TOT",2006,475
"446","ITA","TOT",2009,489
"447","ITA","TOT",2012,494
"448","ITA","TOT",2015,481
"449","ITA","TOT",2018,468
"450","JPN","TOT",2006,531
"451","JPN","TOT",2009,539
"452","JPN","TOT",2012,547
"453","JPN","TOT",2015,538
"454","JPN","TOT",2018,529
"455","KOR","TOT",2006,522
"456","KOR","TOT",2009,538
"457","KOR","TOT",2012,538
"458","KOR","TOT",2015,516
"459","KOR","TOT",2018,519
"460","LUX","TOT",2006,486
"461","LUX","TOT",2009,484
"462","LUX","TOT",2012,491
"463","LUX","TOT",2015,483
"464","LUX","TOT",2018,477
"465","MEX","TOT",2006,410
"466","MEX","TOT",2009,416
"467","MEX","TOT",2012,415
"468","MEX","TOT",2015,416
"469","MEX","TOT",2018,419
"470","NLD","TOT",2006,525
"471","NLD","TOT",2009,522
"472","NLD","TOT",2012,522
"473","NLD","TOT",2015,509
"474","NLD","TOT",2018,503
"475","NZL","TOT",2006,530
"476","NZL","TOT",2009,532
"477","NZL","TOT",2012,516
"478","NZL","TOT",2015,513
"479","NZL","TOT",2018,508
"480","NOR","TOT",2006,487
"481","NOR","TOT",2009,500
"482","NOR","TOT",2012,495
"483","NOR","TOT",2015,498
"484","NOR","TOT",2018,490
"485","POL","TOT",2006,498
"486","POL","TOT",2009,508
"487","POL","TOT",2012,526
"488","POL","TOT",2015,501
"489","POL","TOT",2018,511
"490","PRT","TOT",2006,474
"491","PRT","TOT",2009,493
"492","PRT","TOT",2012,489
"493","PRT","TOT",2015,501
"494","PRT","TOT",2018,492
"495","SVK","TOT",2006,488
"496","SVK","TOT",2009,490
"497","SVK","TOT",2012,471
"498","SVK","TOT",2015,461
"499","SVK","TOT",2018,464
"500","ESP","TOT",2006,488
"501","ESP","TOT",2009,488
"502","ESP","TOT",2012,496
"503","ESP","TOT",2015,493
"504","ESP","TOT",2018,483
"505","SWE","TOT",2006,503
"506","SWE","TOT",2009,495
"507","SWE","TOT",2012,485
"508","SWE","TOT",2015,493
"509","SWE","TOT",2018,499
"510","CHE","TOT",2006,512
"511","CHE","TOT",2009,517
"512","CHE","TOT",2012,515
"513","CHE","TOT",2015,506
"514","CHE","TOT",2018,495
"515","TUR","TOT",2006,424
"516","TUR","TOT",2009,454
"517","TUR","TOT",2012,463
"518","TUR","TOT",2015,425
"519","TUR","TOT",2018,468
"520","GBR","TOT",2006,515
"521","GBR","TOT",2009,514
"522","GBR","TOT",2012,514
"523","GBR","TOT",2015,509
"524","GBR","TOT",2018,505
"525","USA","TOT",2006,489
"526","USA","TOT",2009,502
"527","USA","TOT",2012,497
"528","USA","TOT",2015,496
"529","USA","TOT",2018,502
"530","BRA","TOT",2006,390
"531","BRA","TOT",2009,405
"532","BRA","TOT",2012,402
"533","BRA","TOT",2015,401
"534","BRA","TOT",2018,404
"535","CHL","TOT",2006,438
"536","CHL","TOT",2009,447
"537","CHL","TOT",2012,445
"538","CHL","TOT",2015,447
"539","CHL","TOT",2018,444
"540","EST","TOT",2006,531
"541","EST","TOT",2009,528
"542","EST","TOT",2012,541
"543","EST","TOT",2015,534
"544","EST","TOT",2018,530
"545","IDN","TOT",2006,393
"546","IDN","TOT",2009,383
"547","IDN","TOT",2012,382
"548","IDN","TOT",2015,403
"549","IDN","TOT",2018,396
"550","ISR","TOT",2006,454
"551","ISR","TOT",2009,455
"552","ISR","TOT",2012,470
"553","ISR","TOT",2015,467
"554","ISR","TOT",2018,462
"555","LVA","TOT",2006,490
"556","LVA","TOT",2009,494
"557","LVA","TOT",2012,502
"558","LVA","TOT",2015,490
"559","LVA","TOT",2018,487
"560","RUS","TOT",2006,478
"561","RUS","TOT",2009,486
"562","RUS","TOT",2012,487
"563","RUS","TOT",2018,478
"564","SGP","BOY",2015,559
"565","SGP","GIRL",2015,552
"566","SVN","TOT",2006,519
"567","SVN","TOT",2009,512
"568","SVN","TOT",2012,514
"569","SVN","TOT",2015,513
"570","SVN","TOT",2018,507
"571","OAVG","TOT",2006,498
"572","OAVG","TOT",2009,501
"573","OAVG","TOT",2012,501
"574","OAVG","TOT",2015,493
"575","OAVG","TOT",2018,489
"576","COL","TOT",2015,416
"577","COL","TOT",2018,413
"578","COL","BOY",2015,421
"579","COL","BOY",2018,420
"580","COL","GIRL",2015,411
"581","COL","GIRL",2018,407
"582","HKG","TOT",2015,523
"583","HKG","BOY",2015,523
"584","HKG","GIRL",2015,524
"585","PER","TOT",2015,397
"586","PER","BOY",2015,402
"587","PER","GIRL",2015,392
"588","SGP","TOT",2015,556
"589","TWN","TOT",2015,532
"590","TWN","BOY",2015,535
"591","TWN","GIRL",2015,530
"592","MAC","TOT",2015,529
"593","MAC","BOY",2015,525
"594","MAC","GIRL",2015,532
"595","CRI","TOT",2018,416
"596","CRI","BOY",2018,420
"597","CRI","GIRL",2018,411
"598","LTU","TOT",2018,482
"599","LTU","BOY",2018,479
"600","LTU","GIRL",2018,485
