"","country","sex","field","level.of.education","year","percent","flags"
"182","Austria","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.169,""
"183","Austria","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.022,""
"184","Austria","T","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,10.819,""
"185","Austria","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,11.862,""
"186","Austria","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,9.587,""
"187","Austria","T","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.324,""
"188","Austria","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.944,""
"189","Austria","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.169,""
"190","Austria","T","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.048,""
"191","Austria","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.867,""
"192","Austria","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.303,""
"193","Austria","T","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.956,""
"194","Austria","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.829,""
"195","Austria","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.106,""
"196","Austria","T","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.829,""
"197","Austria","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.437,""
"198","Austria","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.151,""
"199","Belgium","T","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"200","Belgium","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"201","Belgium","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"202","Belgium","T","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"203","Belgium","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"204","Belgium","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"205","Belgium","T","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"206","Belgium","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"207","Belgium","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"208","Belgium","T","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.906,""
"209","Belgium","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.128,""
"210","Belgium","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.735,""
"211","Belgium","T","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,4.589,""
"212","Belgium","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,6.083,""
"213","Belgium","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,2.683,""
"214","Belgium","T","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.152,""
"215","Belgium","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.667,""
"216","Belgium","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.712,""
"217","Belgium","T","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.383,""
